ano_mes,operadora,volume,volume_mes_anterior,var_mom_pct,volume_ano_anterior,var_yoy_pct,media_movel_3m
2023-10,OI,31,20.0,55.0,31.0,0.0,28.3
2023-11,OI,37,31.0,19.35,39.0,-5.13,29.3
2023-12,OI,37,37.0,0.0,33.0,12.12,35.0
2022-01,SERCOMTEL,7,,,,,7.0
2022-02,SERCOMTEL,6,7.0,-14.29,,,6.5
2022-03,SERCOMTEL,11,6.0,83.33,,,8.0
2022-04,SERCOMTEL,9,11.0,-18.18,,,8.7
2022-05,SERCOMTEL,5,9.0,-44.44,,,8.3
2022-06,SERCOMTEL,8,5.0,60.0,,,7.3
2022-07,SERCOMTEL,6,8.0,-25.0,,,6.3
2022-08,SERCOMTEL,5,6.0,-16.67,,,6.3
2022-09,SERCOMTEL,10,5.0,100.0,,,7.0
2022-10,SERCOMTEL,8,10.0,-20.0,,,7.7
2022-11,SERCOMTEL,9,8.0,12.5,,,9.0
2022-12,SERCOMTEL,5,9.0,-44.44,,,7.3
2023-01,SERCOMTEL,3,5.0,-40.0,7.0,-57.14,5.7
2023-02,SERCOMTEL,7,3.0,133.33,6.0,16.67,5.0
2023-03,SERCOMTEL,9,7.0,28.57,11.0,-18.18,6.3
2023-04,SERCOMTEL,5,9.0,-44.44,9.0,-44.44,7.0
2023-05,SERCOMTEL,6,5.0,20.0,5.0,20.0,6.7
2023-06,SERCOMTEL,9,6.0,50.0,8.0,12.5,6.7
2023-07,SERCOMTEL,6,9.0,-33.33,6.0,0.0,7.0
2023-08,SERCOMTEL,8,6.0,33.33,5.0,60.0,7.7
2023-09,SERCOMTEL,7,8.0,-12.5,10.0,-30.0,7.0
2023-10,SERCOMTEL,7,7.0,0.0,8.0,-12.5,7.3
2023-11,SERCOMTEL,4,7.0,-42.86,9.0,-55.56,6.0
2023-12,SERCOMTEL,6,4.0,50.0,5.0,20.0,5.7
2022-01,TIM,67,,,,,67.0
2022-02,TIM,63,67.0,-5.97,,,65.0
2022-03,TIM,55,63.0,-12.7,,,61.7
2022-04,TIM,67,55.0,21.82,,,61.7
2022-05,TIM,71,67.0,5.97,,,64.3
2022-06,TIM,56,71.0,-21.13,,,64.7
2022-07,TIM,65,56.0,16.07,,,64.0
2022-08,TIM,56,65.0,-13.85,,,59.0
2022-09,TIM,75,56.0,33.93,,,65.3
2022-10,TIM,65,75.0,-13.33,,,65.3
2022-11,TIM,54,65.0,-16.92,,,64.7
2022-12,TIM,55,54.0,1.85,,,58.0
2023-01,TIM,73,55.0,32.73,67.0,8.96,60.7
2023-02,TIM,54,73.0,-26.03,63.0,-14.29,60.7
2023-03,TIM,81,54.0,50.0,55.0,47.27,69.3
2023-04,TIM,60,81.0,-25.93,67.0,-10.45,65.0
2023-05,TIM,68,60.0,13.33,71.0,-4.23,69.7
2023-06,TIM,72,68.0,5.88,56.0,28.57,66.7
2023-07,TIM,64,72.0,-11.11,65.0,-1.54,68.0
2023-08,TIM,72,64.0,12.5,56.0,28.57,69.3
2023-09,TIM,68,72.0,-5.56,75.0,-9.33,68.0
2023-10,TIM,71,68.0,4.41,65.0,9.23,70.3
2023-11,TIM,59,71.0,-16.9,54.0,9.26,66.0
2023-12,TIM,82,59.0,38.98,55.0,49.09,70.7
2022-01,VIVO,69,,,,,69.0
2022-02,VIVO,77,69.0,11.59,,,73.0
2022-03,VIVO,75,77.0,-2.6,,,73.7
2022-04,VIVO,80,75.0,6.67,,,77.3
2022-05,VIVO,90,80.0,12.5,,,81.7
2022-06,VIVO,78,90.0,-13.33,,,82.7
2022-07,VIVO,81,78.0,3.85,,,83.0
2022-08,VIVO,92,81.0,13.58,,,83.7
2022-09,VIVO,82,92.0,-10.87,,,85.0
2022-10,VIVO,78,82.0,-4.88,,,84.0
2022-11,VIVO,90,78.0,15.38,,,83.3
2022-12,VIVO,96,90.0,6.67,,,88.0
2023-01,VIVO,78,96.0,-18.75,69.0,13.04,88.0
2023-02,VIVO,69,78.0,-11.54,77.0,-10.39,81.0
2023-03,VIVO,82,69.0,18.84,75.0,9.33,76.3
2023-04,VIVO,86,82.0,4.88,80.0,7.5,79.0
2023-05,VIVO,87,86.0,1.16,90.0,-3.33,85.0
2023-06,VIVO,88,87.0,1.15,78.0,12.82,87.0
2023-07,VIVO,83,88.0,-5.68,81.0,2.47,86.0
2023-08,VIVO,105,83.0,26.51,92.0,14.13,92.0
2023-09,VIVO,75,105.0,-28.57,82.0,-8.54,87.7
2023-10,VIVO,91,75.0,21.33,78.0,16.67,90.3
2023-11,VIVO,69,91.0,-24.18,90.0,-23.33,78.3
2023-12,VIVO,99,69.0,43.48,96.0,3.12,86.3
