Data_Abertura;Hora_Abertura;Tipo;Motivo;Detalhe_Motivo;Status;Agrupamento;Nome;Porte;Grupo_Economico;UF;Municipio;Sigla
07/10/2022;15:37;Reclamação;Contrato;Cancelamento não realizado;Pendente;SCM;TIM S.A.;Grande;TIM;PA;MARABÁ;SCM
23/03/2023;08:30;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TIM S.A.;Grande;TIM;SP;SÃO PAULO;SCM
06/04/2022;20:30;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Grande;Claro;RJ;NITERÓI;SCM
24/01/2023;10:07;Reclamação;Cobrança;Cobrança indevida;Em análise;SCM;OI S.A.;Grande;Oi;AL;AL - INTERIOR;SCM
15/01/2023;07:06;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;PR;MARINGÁ;SCM
10/04/2023;19:38;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;TIM S.A.;Grande;TIM;SP;SOROCABA;SCM
15/06/2023;15:00;Reclamação;Cobrança;Cobrança indevida;Pendente;SCM;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Grande;-;BA;SALVADOR;SCM
18/09/2023;15:35;Reclamação;Contrato;Cancelamento não realizado;Respondida;SCM;CLARO S.A.;Grande;Claro;RO;RO - INTERIOR;SCM
05/08/2023;10:16;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;EMBRATEL S.A.;Grande;Claro;PB;PB - INTERIOR;SCM
18/06/2023;17:54;Reclamação;Velocidade;Velocidade abaixo do contratado;Em análise;SCM;OI S.A.;Grande;Oi;SE;SE - INTERIOR;SCM
31/03/2023;07:56;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;Oi S.A.;Grande;Oi;RS;PORTO ALEGRE;SCM
04/09/2022;19:24;Reclamação;Velocidade;Velocidade abaixo do contratado;Pendente;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;CE;JUAZEIRO DO NORTE;SCM
18/03/2023;18:29;Reclamação;Instalação;Prazo de instalação excedido;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;BA;FEIRA DE SANTANA;SCM
10/06/2022;22:09;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;TIM S.A.;Grande;TIM;RJ;RIO DE JANEIRO;SCM
18/10/2023;10:18;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;Claro S.A.;Grande;Claro;SP;SÃO PAULO;SCM
06/02/2023;21:13;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;EMBRATEL S.A.;Grande;Claro;RJ;NOVA IGUAÇU;SCM
23/09/2023;12:40;Reclamação;Velocidade;Velocidade abaixo do contratado;Pendente;SCM;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Grande;Claro;PE;PETROLINA;SCM
02/04/2023;19:31;Reclamação;Contrato;Cancelamento não realizado;Respondida;SCM;OI S.A.;Grande;Oi;MG;UBERLÂNDIA;SCM
06/06/2022;14:08;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;Tim S.A.;Grande;TIM;MA;SÃO LUÍS;SCM
24/06/2023;12:27;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;TIM S.A.;Grande;TIM;RJ;NOVA IGUAÇU;SCM
01/01/2022;16:11;Reclamação;Velocidade;N/A;Respondida;SCM;OI S.A.;Grande;Oi;MG;JUIZ DE FORA;SCM
22/09/2023;10:15;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;CLARO S.A.;Grande;Claro;CE;FORTALEZA;SCM
11/01/2022;11:01;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;TO;TO - INTERIOR;SCM
07/06/2022;15:02;Reclamação;Falha;Falha/Interrupção do serviço;Pendente;SCM;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Grande;Claro;DF;CEILÂNDIA;SCM
18/03/2022;21:53;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;CLARO S.A.;Grande;Claro;SP;CAMPINAS;SCM
18/11/2023;09:59;Reclamação;Velocidade;Velocidade abaixo do contratado;Pendente;SCM;TIM S.A.;Grande;TIM;BA;FEIRA DE SANTANA;SCM
04/06/2022;14:12;Reclamação;Contrato;Cancelamento não realizado;Pendente;SCM;SERCOMTEL S.A. - TELECOMUNICAÇÕES;Pequeno;Sercomtel;MG;UBERLÂNDIA;SCM
29/10/2022;12:02;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;Telefonica Brasil S.A.;Grande;Vivo;SC;SC - INTERIOR;SCM
11/05/2023;18:38;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;SC;SC - INTERIOR;SCM
07/07/2022;15:20;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TIM S.A.;Grande;TIM;RJ;DUQUE DE CAXIAS;SCM
06/03/2022;18:32;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;CLARO S.A.;Grande;Claro;BA;FEIRA DE SANTANA;SCM
15/12/2022;10:11;Reclamação;Velocidade;Velocidade abaixo do contratado;Pendente;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;BA;FEIRA DE SANTANA;SCM
04/12/2023;16:55;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande; ;AM;MANAUS;SCM
09/02/2022;15:28;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Grande;Claro;PE;PETROLINA;SCM
03/04/2023;11:52;Reclamação;Velocidade;Velocidade abaixo do contratado;Pendente;SCM;OI S.A.;Grande;Oi;PR;CURITIBA;SCM
09/03/2022;14:26;Reclamação;Outros;Outros;Respondida;SCM;OI S.A.;Grande;Oi;SP;CAMPINAS;SCM
15/02/2022;12:26;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TIM S.A.;Grande;TIM;RJ;NOVA IGUAÇU;SCM
06/03/2022;11:13;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;PR;MARINGÁ;SCM
19/01/2022;09:58;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;CLARO S/A;Grande;Claro;RJ;RIO DE JANEIRO;SCM
19/08/2022;10:27;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;OI S.A.;Grande;N/A;DF;BRASÍLIA;SCM
09/06/2022;11:15;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;MG;BELO HORIZONTE;SCM
27/07/2023;22:58;Reclamação;Atendimento;Atendimento inadequado;Em análise;SCM;Telefonica Brasil S.A.;Grande;Vivo;RO;RO - INTERIOR;SCM
07/04/2023;18:26;Reclamação;Velocidade;Velocidade abaixo do contratado;Em análise;SCM;-;Grande;TIM;BA;VITÓRIA DA CONQUISTA;SCM
24/03/2023;12:30;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;OI S.A.;Grande;Oi;MT;CUIABÁ;SCM
09/02/2023;18:31;Reclamação;Velocidade;Velocidade abaixo do contratado;Em análise;SCM;TIM S.A.;Grande;TIM;AM;MANAUS;SCM
15/06/2023;15:21;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;TIM S.A.;Grande;TIM;MA;IMPERATRIZ;SCM
24/07/2022;15:42;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;OI S.A.;Grande;Oi;PE;RECIFE;SCM
14/03/2022;20:21;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;CLARO S.A.;Grande;Claro;RJ;RIO DE JANEIRO;SCM
12/08/2023;08:59;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;MS;CAMPO GRANDE;SCM
12/07/2022;16:17;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;CLARO S.A.;Grande;Claro;RS;PORTO ALEGRE;SCM
27/06/2023;17:21;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;RS;CANOAS;SCM
24/06/2022;14:13;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;TIM S.A.;Grande;TIM;SP;SOROCABA;SCM
04/01/2023;20:45;Reclamação;Velocidade;Velocidade abaixo do contratado;Pendente;SCM;TIM S.A.;Grande;TIM;PA;MARABÁ;SCM
27/02/2023;20:01;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TIM S.A.;Grande;TIM;SP;CAMPINAS;SCM
11/07/2022;14:05;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;Telefonica Brasil S.A.;Grande;Vivo;MG;CONTAGEM;SCM
18/10/2022;13:26;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;PR;CURITIBA;SCM
25/07/2023;18:03;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;CLARO S/A;Grande;Claro;TO;TO - INTERIOR;SCM
12/07/2023;07:33;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;CLARO S.A.;Grande;Claro;AP;AP - INTERIOR;SCM
22/07/2022;22:53;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;CLARO S.A.;Grande;Claro;SC;SC - INTERIOR;SCM
29/11/2022;11:43;Reclamação;Outros;Outros;Respondida;SCM;CLARO S.A.;Grande;Claro;BA;VITÓRIA DA CONQUISTA;SCM
16/06/2023;19:48;Reclamação;Contrato;Cancelamento não realizado;Pendente;SCM;-;Grande;TIM;SP;SOROCABA;SCM
24/06/2022;12:23;Reclamação;Falha;Falha/Interrupção do serviço;Pendente;SCM;TIM S.A.;Grande;TIM;BA;FEIRA DE SANTANA;SCM
06/12/2022;11:24;Reclamação;Cobrança;Cobrança indevida;Pendente;SCM;CLARO S.A.;Grande;Claro;RS;CANOAS;SCM
04/01/2022;17:32;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;CLARO S.A.;Grande;Claro;SC;SC - INTERIOR;SCM
10/07/2023;22:50;Reclamação;Velocidade;Velocidade abaixo do contratado;Pendente;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;PI;PI - INTERIOR;SCM
03/10/2023;08:09;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;EMBRATEL S.A.;Grande;Claro;RJ;NOVA IGUAÇU;SCM
04/03/2023;10:54;Reclamação;Contrato;Cancelamento não realizado;Pendente;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;SP;SÃO PAULO;SCM
26/01/2022;19:49;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;TIM S.A.;Grande;TIM;RR;RR - INTERIOR;SCM
12/12/2023;18:31;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TIM S.A.;Grande;TIM;MG;CONTAGEM;SCM
28/09/2023;21:56;Reclamação;Velocidade; ;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;CE;CAUCAIA;SCM
27/07/2022;20:32;Reclamação;N/A;Falha/Interrupção do serviço;Em análise;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;BA;VITÓRIA DA CONQUISTA;SCM
06/04/2022;17:17;Reclamação;Velocidade;Velocidade abaixo do contratado;Pendente;SCM;CLARO S.A.; ;Claro;MG;BELO HORIZONTE;SCM
13/10/2023;10:54;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;CLARO S.A.;Grande;Claro;SP;SANTOS;SCM
31/07/2023;19:48;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;CLARO S/A;Grande;Claro;GO;ANÁPOLIS;SCM
28/04/2022;13:28;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;CLARO S.A.;Grande;Claro;RJ;NOVA IGUAÇU;SCM
23/08/2022;22:21;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;CLARO S.A.;Grande;Claro;SP;CAMPINAS;SCM
12/12/2022;20:16;Reclamação;Cobrança;Cobrança indevida;Em análise;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;MG;JUIZ DE FORA;SCM
03/04/2022;19:20;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;GO;GOIÂNIA;SCM
22/03/2022;14:43;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;CLARO S.A.;Grande;Claro;SP;SÃO PAULO;SCM
12/11/2022;07:09;Reclamação;Velocidade;Velocidade abaixo do contratado;Pendente;SCM;CLARO S.A.;Grande;Claro;RS;CAXIAS DO SUL;SCM
15/09/2022;12:56;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;CLARO S.A.;Grande;Claro;SP;GUARULHOS;SCM
14/05/2023;20:29;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;OI S.A.;Grande;Oi;PA;ANANINDEUA;SCM
25/11/2022;16:57;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;OI S.A.;Grande;Oi;RJ;RIO DE JANEIRO;SCM
27/05/2023;15:55;Reclamação;Velocidade;Velocidade abaixo do contratado;Pendente;SCM;TIM S.A.;Grande;TIM;GO;APARECIDA DE GOIÂNIA;SCM
21/04/2023;12:39;Reclamação;Falha;N/A;Respondida;SCM;CLARO S.A.;Grande;Claro;SP;SÃO PAULO;SCM
28/12/2023;20:40;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;RJ;NITERÓI;SCM
09/11/2023;14:53;Reclamação;Cobrança;Cobrança indevida;Em análise;SCM;Claro S.A.;Grande;Claro;DF;TAGUATINGA;SCM
23/04/2023;12:38;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;CLARO S.A.;Grande;Claro;SP;SANTOS;SCM
30/03/2023;22:46;Reclamação;Outros;Outros;Respondida;SCM;OI S.A.;Grande;Oi;BA;VITÓRIA DA CONQUISTA;SCM
