Data_Abertura;Hora_Abertura;Tipo;Motivo;Detalhe_Motivo;Status;Agrupamento;Nome;Porte;Grupo_Economico;UF;Municipio;Sigla
26/03/2023;21:03;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Pendente;SMP;CLARO S.A.;Grande;Claro;MA;IMPERATRIZ;SMP
27/10/2022;19:05;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Pendente;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;BA;VITÓRIA DA CONQUISTA;SMP
12/03/2022;16:25;Reclamação;Portabilidade;N/A;Respondida;SMP;SERCOMTEL S.A. - TELECOMUNICAÇÕES;Pequeno;Sercomtel;RJ;RIO DE JANEIRO;SMP
04/11/2023;21:01;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;CLARO S.A.;Grande;Claro;BA;FEIRA DE SANTANA;SMP
16/06/2023;12:50;Reclamação;Outros;Outros;Respondida;SMP;CLARO S.A.;Grande;Claro;PE;RECIFE;SMP
08/12/2022;20:00;Reclamação;N/A;Velocidade de internet móvel abaixo;Respondida;SMP;SERCOMTEL S.A. - TELECOMUNICAÇÕES;Pequeno;Sercomtel;MA;TIMON;SMP
24/12/2022;19:23;Reclamação;Portabilidade;Portabilidade numérica não efetivada;Em análise;SMP;CLARO S/A;Grande;Claro;PR;LONDRINA;SMP
16/11/2022;14:58;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Respondida;SMP;TIM S.A.;Grande;TIM;SP;GUARULHOS;SMP
28/02/2023;22:24;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Pendente;SMP;TIM S.A.;Grande;TIM;BA;FEIRA DE SANTANA;SMP
04/05/2022;07:20;Reclamação;N/A;Queda de sinal / cobertura inadequada;Respondida;SMP;TIM S.A.;Grande;TIM;SP;GUARULHOS;SMP
23/11/2022;15:18;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Pendente;SMP;CLARO S.A.;Grande;Claro;SP;SANTOS;SMP
05/04/2022;17:26;Reclamação;Internet;Velocidade de internet móvel abaixo;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;PA;SANTARÉM;SMP
01/03/2023;07:54;Reclamação;Internet;Velocidade de internet móvel abaixo;Respondida;SMP;TIM S.A.;Grande;TIM;RO;RO - INTERIOR;SMP
04/06/2022;22:24;Reclamação;Internet;Velocidade de internet móvel abaixo;Respondida;SMP;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Grande;Claro;BA;FEIRA DE SANTANA;SMP
09/07/2022;19:37;Reclamação;Internet;Velocidade de internet móvel abaixo;Respondida;SMP;CLARO S.A.;Grande;Claro;CE;FORTALEZA;SMP
18/01/2023;21:56;Reclamação;Internet;Velocidade de internet móvel abaixo;Respondida;SMP;CLARO S.A.;Grande;Claro;SP;SOROCABA;SMP
31/10/2022;10:03;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Respondida;SMP;CLARO S.A.;Grande;Claro;PE;OLINDA;SMP
09/11/2023;13:09;Reclamação;Cobrança;NÃO INFORMADO;Respondida;SMP;OI S.A.;Grande;Oi;MG;BELO HORIZONTE;SMP
17/06/2023;19:19;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Em análise;SMP;OI S.A.;Grande;Oi;PR;MARINGÁ;SMP
25/11/2023;15:31;Reclamação;Portabilidade;Portabilidade numérica não efetivada;Pendente;SMP;CLARO S.A.;Grande;Claro;RJ;DUQUE DE CAXIAS;SMP
21/04/2023;13:21;Reclamação;Portabilidade;Portabilidade numérica não efetivada;Respondida;SMP;EMBRATEL S.A.;Grande;Claro;MA;TIMON;SMP
20/03/2022;11:56;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;TIM S.A.;Grande;TIM;BA;FEIRA DE SANTANA;SMP
28/03/2022;22:23;Reclamação;N/A;Portabilidade numérica não efetivada;Respondida;SMP;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Grande;Claro;BA;VITÓRIA DA CONQUISTA;SMP
19/07/2022;15:14;Reclamação;Atendimento;Atendimento ao cliente;Respondida;SMP;TIM S.A.;Grande;TIM;MG;CONTAGEM;SMP
27/10/2023;10:27;Reclamação; ;Cobrança indevida / surpresa na fatura;Respondida;SMP;CLARO S.A.;Grande;Claro;SP;SOROCABA;SMP
21/03/2022;17:14;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Pendente;SMP;CLARO S/A;Grande;Claro;RJ;DUQUE DE CAXIAS;SMP
21/08/2022;18:05;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;RS;PELOTAS;SMP
02/03/2023;07:59;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Pendente;SMP;CLARO S.A.;Grande;Claro;SP;GUARULHOS;SMP
30/07/2023;07:41;Reclamação;Outros;Outros;Pendente;SMP;CLARO S.A.;Grande;Claro;RJ;NITERÓI;SMP
30/06/2022;18:52;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Pendente;SMP;OI S.A.;Grande;Oi;MS;CAMPO GRANDE;SMP
08/02/2022;14:10;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;MG;BELO HORIZONTE;SMP
29/09/2022;15:58;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Pendente;SMP;CLARO S.A.;Grande;Claro;RJ;NOVA IGUAÇU;SMP
27/03/2023;13:55;Reclamação;Atendimento;Atendimento ao cliente;Respondida;SMP;TIM S.A.;Grande;TIM;ES;CARIACICA;SMP
26/04/2023;08:19;Reclamação;Portabilidade;Portabilidade numérica não efetivada;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;CE;FORTALEZA;SMP
15/02/2023;14:34;Reclamação;Portabilidade;Portabilidade numérica não efetivada;Em análise;SMP;CLARO S/A;Grande;Claro;RO;RO - INTERIOR;SMP
12/12/2023;20:10;Reclamação;Internet;Velocidade de internet móvel abaixo;Respondida;SMP;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Grande;Claro;PR;LONDRINA;SMP
28/01/2022;18:13;Reclamação;Atendimento;Atendimento ao cliente;Pendente;SMP;CLARO S.A.;Grande;Claro;RJ;RIO DE JANEIRO;SMP
02/01/2022;08:41;Reclamação;Atendimento;Atendimento ao cliente;Em análise;SMP;CLARO S.A.;Grande;Claro;RJ;NITERÓI;SMP
13/05/2022;20:56;Reclamação;Atendimento;Atendimento ao cliente;Respondida;SMP;CLARO S/A;Grande;N/A;MT;CUIABÁ;SMP
18/05/2022;19:21;Reclamação;Outros; ;Respondida;SMP;CLARO S.A.;Grande;Claro;CE;SOBRAL;SMP
04/12/2022;18:13;Reclamação;Atendimento;Atendimento ao cliente;Respondida;SMP;TIM S.A.;Grande;TIM;SP;GUARULHOS;SMP
19/03/2022;21:15;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;OI S.A.;Grande;Oi;GO;GOIÂNIA;SMP
06/10/2022;09:43;Reclamação;Portabilidade;Portabilidade numérica não efetivada;Pendente;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;RJ;NITERÓI;SMP
10/04/2022;08:40;Reclamação;Portabilidade;Portabilidade numérica não efetivada;Em análise;SMP;TIM S.A.;Grande;TIM;SP;SANTOS;SMP
07/05/2023;09:29;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;SP;GUARULHOS;SMP
25/06/2023;17:29;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Respondida;SMP;TIM S.A.;Grande;TIM;AM;ITACOATIARA;SMP
20/10/2023;16:19;Reclamação;Portabilidade;Portabilidade numérica não efetivada;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;NÃO INFORMADO;RJ;NOVA IGUAÇU;SMP
05/08/2023;14:41;Reclamação; ;Portabilidade numérica não efetivada;Em análise;SMP;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Grande;Claro;GO;GOIÂNIA;SMP
11/01/2022;12:30;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;CLARO S.A.;Grande;Claro;SP;GUARULHOS;SMP
13/09/2023;22:56;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;BA;SALVADOR;SMP
05/07/2022;20:54;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;CLARO S.A.;Grande;Claro;PR;PONTA GROSSA;SMP
27/07/2023;12:42;Reclamação;N/A;Queda de sinal / cobertura inadequada;Pendente;SMP;-;Grande;Claro;RN;RN - INTERIOR;SMP
04/03/2023;13:23;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;MG;JUIZ DE FORA;SMP
03/09/2022;16:08;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;TIM S.A.;Grande;TIM;RJ;DUQUE DE CAXIAS;SMP
04/08/2022;20:39;Reclamação;Internet;Velocidade de internet móvel abaixo;Respondida;SMP;CLARO S.A.;Grande;Claro;SP;SÃO PAULO;SMP
26/06/2023;22:08;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Respondida;SMP;TIM S.A.;Grande;TIM;RS;CAXIAS DO SUL;SMP
09/12/2023;11:44;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Pendente;SMP;TIM S.A.;Grande;TIM;SP;SOROCABA;SMP
12/07/2023;11:56;Reclamação;Portabilidade;Portabilidade numérica não efetivada;Respondida;SMP;CLARO S.A.;Grande;Claro;MG;CONTAGEM;SMP
20/07/2022;13:26;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Respondida;SMP;CLARO S.A.;Grande;Claro;RS;CANOAS;SMP
09/02/2022;15:42;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Respondida;SMP; ;Grande;Claro;SC;SC - INTERIOR;SMP
10/08/2023;14:43;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;OI S.A.;Grande;Oi;MT;VÁRZEA GRANDE;SMP
25/12/2023;07:41;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Em análise;SMP;CLARO S.A.;Grande;N/A;RS;PELOTAS;SMP
26/07/2023;15:07;Reclamação;Portabilidade;Portabilidade numérica não efetivada;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;SP;SÃO PAULO;SMP
16/03/2023;19:38;Reclamação;-;Portabilidade numérica não efetivada;Pendente;SMP;OI S.A.;Grande;Oi;PE;PETROLINA;SMP
02/12/2023;19:31;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Respondida;SMP;TIM S.A.;Grande;TIM;RS;PORTO ALEGRE;SMP
07/03/2023;08:50;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Pendente;SMP;TIM S.A.;Grande;TIM;CE;FORTALEZA;SMP
01/09/2023;20:08;Reclamação;Atendimento;Atendimento ao cliente;Respondida;SMP;Embratel S.A.;Grande;Claro;DF;BRASÍLIA;SMP
09/10/2023;14:28;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;RS;PELOTAS;SMP
30/10/2022;09:54;Reclamação;Internet;Velocidade de internet móvel abaixo;Pendente;SMP;CLARO S.A.;Grande;Claro;RJ;NITERÓI;SMP
04/02/2022;12:09;Reclamação;Internet;Velocidade de internet móvel abaixo;Pendente;SMP;CLARO S.A.;Grande;Claro;RJ;DUQUE DE CAXIAS;SMP
26/10/2023;08:37;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Respondida;SMP;TIM S.A.;Grande;TIM;MG;BELO HORIZONTE;SMP
13/02/2022;11:04;Reclamação;Cobrança;-;Pendente;SMP;OI S.A.;Grande;Oi;CE;FORTALEZA;SMP
27/07/2022;07:42;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Respondida;SMP;Telefonica Brasil S.A.;NÃO INFORMADO;Vivo;SP;SANTOS;SMP
25/03/2022;17:20;Reclamação;Internet;Velocidade de internet móvel abaixo;Respondida;SMP;CLARO S.A.;Grande;Claro;AM;ITACOATIARA;SMP
02/01/2022;17:31;Reclamação;N/A;Queda de sinal / cobertura inadequada;Em análise;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;MG;UBERLÂNDIA;SMP
31/07/2022;09:14;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Respondida;SMP;SERCOMTEL S.A. - TELECOMUNICAÇÕES;Pequeno;Sercomtel;MG;JUIZ DE FORA;SMP
14/01/2022;13:51;Reclamação;Internet;Velocidade de internet móvel abaixo;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;MG;UBERLÂNDIA;SMP
04/09/2023;19:49;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Respondida;SMP;TIM S.A.;Grande;TIM;AM;PARINTINS;SMP
18/08/2023;10:25;Reclamação;Atendimento;Atendimento ao cliente;Respondida;SMP;EMBRATEL S.A.;Grande;Claro;PR;CURITIBA;SMP
09/07/2023;11:59;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;TIM S.A.;Grande;TIM;GO;APARECIDA DE GOIÂNIA;SMP
11/05/2022;08:04;Reclamação;Portabilidade;Portabilidade numérica não efetivada;Respondida;SMP;Telefonica Brasil S.A.;-;Vivo;CE;SOBRAL;SMP
24/05/2022;11:31;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;Telefonica Brasil S.A.;Grande;Vivo;RS;PELOTAS;SMP
16/11/2023;17:16;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Pendente;SMP;CLARO S.A.;Grande;Claro;MG;CONTAGEM;SMP
27/03/2023;13:38;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Respondida;SMP;CLARO S.A.;Grande;Claro;PA;MARABÁ;SMP
24/02/2023;15:56;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;CLARO S/A;Grande;Claro;BA;FEIRA DE SANTANA;SMP
13/04/2023;14:27;Reclamação;-;Cobrança indevida / surpresa na fatura;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;BA;VITÓRIA DA CONQUISTA;SMP
06/07/2022;21:01;Reclamação; ;Velocidade de internet móvel abaixo;Respondida;SMP;CLARO S.A.;Grande;Claro;PE;CARUARU;SMP
17/08/2023;16:32;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Pendente;SMP;TIM S.A.;Grande;TIM;MT;SINOP;SMP
25/02/2023;07:26;Reclamação;Outros;Outros;Pendente;SMP;CLARO S.A.;Grande;Claro;SP;SÃO PAULO;SMP
04/01/2023;20:10;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;CLARO S.A.;Grande;Claro;TO;TO - INTERIOR;SMP
13/04/2022;22:06;Reclamação;Internet;Velocidade de internet móvel abaixo;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;RJ;RIO DE JANEIRO;SMP
16/04/2022;08:29;Reclamação;Internet;Velocidade de internet móvel abaixo;Respondida;SMP;TIM S.A.;Grande;TIM;PR;PONTA GROSSA;SMP
10/08/2022;11:43;Reclamação;Portabilidade;Portabilidade numérica não efetivada;Respondida;SMP;CLARO S.A.;Grande;Claro;SP;SOROCABA;SMP
09/06/2022;14:41;Reclamação;Internet;Velocidade de internet móvel abaixo;Pendente;SMP;OI S.A.;Grande;Oi;RJ;NITERÓI;SMP
19/02/2023;21:10;Reclamação;Internet;Velocidade de internet móvel abaixo;Respondida;SMP;TIM S.A.;Grande;TIM;SP;GUARULHOS;SMP
24/06/2023;12:02;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Pendente;SMP;SERCOMTEL S.A. - TELECOMUNICAÇÕES;Pequeno;Sercomtel;RJ;NITERÓI;SMP
25/06/2023;21:49;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;TIM S.A.;Grande;TIM;ES;CARIACICA;SMP
02/03/2022;09:51;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Em análise;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;SP;SÃO PAULO;SMP
27/12/2023;16:03;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Em análise;SMP;TIM S.A.;Grande;TIM;RJ;NOVA IGUAÇU;SMP
27/01/2023;15:11;Reclamação;Internet;Velocidade de internet móvel abaixo;Pendente;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;MS;DOURADOS;SMP
29/12/2022;17:20;Reclamação;Atendimento;Atendimento ao cliente;Respondida;SMP;OI S.A.;Grande;Oi;PA;BELÉM;SMP
17/01/2023;20:28;Reclamação;Portabilidade;Portabilidade numérica não efetivada;Respondida;SMP;CLARO S.A.;Grande;Claro;RS;CANOAS;SMP
07/08/2023;07:32;Reclamação;Atendimento;Atendimento ao cliente;Respondida;SMP;Claro S.A.;Grande;Claro;BA;FEIRA DE SANTANA;SMP
22/09/2022;10:15;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;RO;RO - INTERIOR;SMP
05/06/2023;13:24;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Em análise;SMP;CLARO S.A.;Grande;Claro;SP;CAMPINAS;SMP
16/02/2022;17:40;Reclamação;Atendimento;Atendimento ao cliente;Respondida;SMP;TIM S.A.;Grande;TIM;GO;ANÁPOLIS;SMP
05/11/2023;15:34;Reclamação;Portabilidade;Portabilidade numérica não efetivada;Respondida;SMP;CLARO S.A.;Grande;Claro;PA;SANTARÉM;SMP
12/01/2022;18:05;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Pendente;SMP;CLARO S.A.;Grande;Claro;SP;CAMPINAS;SMP
25/08/2023;18:29;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;TIM S.A.;Grande;TIM;ES;VILA VELHA;SMP
13/08/2022;07:11;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;CLARO S/A;NÃO INFORMADO;Claro;DF;TAGUATINGA;SMP
15/05/2022;07:42;Reclamação;Portabilidade;Portabilidade numérica não efetivada;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;CE;FORTALEZA;SMP
28/07/2022;21:06;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Pendente;SMP;CLARO S.A.;Grande;Claro;SP;SANTOS;SMP
19/07/2022;13:10;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;PR;PONTA GROSSA;SMP
22/12/2022;14:10;Reclamação;Portabilidade;Portabilidade numérica não efetivada;Respondida;SMP;TIM S.A.;Grande;TIM;SC;SC - INTERIOR;SMP
17/10/2022;12:59;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;RJ;NITERÓI;SMP
12/11/2022;10:15;Reclamação;Internet;Velocidade de internet móvel abaixo;Pendente;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;SC;SC - INTERIOR;SMP
09/11/2022;21:04;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Pendente;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;PR;PONTA GROSSA;SMP
11/09/2022;07:54;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;TIM S.A.; ;TIM;PB;PB - INTERIOR;SMP
11/01/2022;18:40;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Respondida;SMP;CLARO S.A.;Grande;Claro;RJ;DUQUE DE CAXIAS;SMP
01/04/2023;20:11;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;TIM S.A.;Grande;TIM;CE;SOBRAL;SMP
29/11/2022;07:44;Reclamação;Atendimento;Atendimento ao cliente;Respondida;SMP;Tim S.A.;Grande;TIM;RO;RO - INTERIOR;SMP
22/03/2023;15:49;Reclamação;Portabilidade;Portabilidade numérica não efetivada;Respondida;SMP;CLARO S.A.;Grande;Claro;CE;SOBRAL;SMP
31/10/2022;15:11;Reclamação;Portabilidade;Portabilidade numérica não efetivada;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;AM;PARINTINS;SMP
30/08/2023;10:21;Reclamação;Outros;Outros;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;PE;PETROLINA;SMP
16/09/2023;12:04;Reclamação; ;Cobrança indevida / surpresa na fatura;Em análise;SMP;TIM S.A.;Grande;TIM;SP;GUARULHOS;SMP
09/06/2023;08:19;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Pendente;SMP;TIM S.A.;Grande;TIM;MT;CUIABÁ;SMP
24/02/2023;17:45;Reclamação;Portabilidade; ;Respondida;SMP;CLARO S/A;Grande;Claro;SP;SANTOS;SMP
20/05/2023;16:11;Reclamação;Internet;Velocidade de internet móvel abaixo;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;SP;CAMPINAS;SMP
13/07/2023;07:21;Reclamação;Portabilidade;Portabilidade numérica não efetivada;Respondida;SMP;Telefonica Brasil S.A.;Grande;N/A;SP;SÃO PAULO;SMP
20/08/2023;22:17;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;CLARO S.A.;Grande;Claro;RS;PORTO ALEGRE;SMP
09/08/2023;17:21;Reclamação;Internet;Velocidade de internet móvel abaixo;Em análise;SMP;CLARO S.A.;Grande;Claro;RJ;NOVA IGUAÇU;SMP
29/11/2023;15:39;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;BA;SALVADOR;SMP
14/12/2023;17:30;Reclamação;Portabilidade;Portabilidade numérica não efetivada;Respondida;SMP;OI S.A.;Grande; ;RJ;NITERÓI;SMP
12/04/2023;09:29;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;TIM S.A.;Grande;TIM;RS;CAXIAS DO SUL;SMP
10/08/2023;19:11;Reclamação;Outros;Outros;Respondida;SMP;CLARO S.A.;Grande;Claro;GO;ANÁPOLIS;SMP
16/10/2022;19:52;Reclamação;Outros;NÃO INFORMADO;Pendente;SMP;CLARO S.A.;Grande;Claro;AM;MANAUS;SMP
23/09/2022;12:31;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Respondida;SMP;OI S.A.;Grande;Oi;MG;JUIZ DE FORA;SMP
17/09/2023;22:25;Reclamação;Portabilidade;Portabilidade numérica não efetivada;Respondida;SMP;CLARO S.A.;Grande;Claro;SP;CAMPINAS;SMP
16/04/2022;07:33;Reclamação;Internet;Velocidade de internet móvel abaixo;Respondida;SMP;TIM S.A.;Grande;TIM;CE;CAUCAIA;SMP
13/04/2022;17:42;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;BA;VITÓRIA DA CONQUISTA;SMP
24/06/2022;20:17;Reclamação;Internet; ;Respondida;SMP;CLARO S.A.;Grande;Claro;CE;SOBRAL;SMP
19/10/2023;09:06;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;TIM S.A.;Grande;TIM;SC;SC - INTERIOR;SMP
