id_reclamacao,id_data,id_operadora,id_uf,id_tipo,status,sigla_servico,qtd
49,490,4,17,12,Respondida,SCM,1
50,80,5,25,35,Respondida,SCM,1
51,431,1,14,18,Respondida,SCM,1
52,503,5,19,12,Respondida,SCM,1
53,664,2,24,4,Respondida,SCM,1
54,99,1,18,35,Respondida,SCM,1
55,226,5,5,35,Respondida,SCM,1
56,72,5,25,35,Respondida,SCM,1
57,157,1,4,2,Pendente,SCM,1
58,588,1,25,9,Respondida,SCM,1
59,597,5,4,12,Respondida,SCM,1
60,175,4,5,35,Respondida,SCM,1
61,114,2,16,2,Respondida,SCM,1
62,386,1,13,9,Respondida,SCM,1
63,89,2,13,18,Respondida,SCM,1
64,436,5,19,4,Pendente,SCM,1
65,112,4,25,2,Respondida,SCM,1
66,597,1,17,35,Respondida,SCM,1
67,115,1,21,12,Respondida,SCM,1
68,39,4,1,4,Respondida,SCM,1
69,124,4,25,4,Respondida,SCM,1
70,663,4,9,35,Respondida,SCM,1
71,116,1,16,3,Respondida,SCM,1
72,63,3,21,4,Respondida,SCM,1
73,521,5,20,35,Respondida,SCM,1
74,339,3,13,12,Respondida,SCM,1
75,400,4,10,35,Respondida,SCM,1
76,139,4,10,9,Pendente,SCM,1
77,197,5,11,2,Respondida,SCM,1
78,442,4,4,4,Em Análise,SCM,1
79,338,1,16,35,Respondida,SCM,1
80,682,4,21,4,Respondida,SCM,1
81,615,4,16,4,Respondida,SCM,1
82,195,1,11,2,Respondida,SCM,1
83,690,4,24,34,Respondida,SCM,1
84,291,1,25,35,Respondida,SCM,1
85,280,5,14,7,Pendente,SCM,1
86,447,5,25,35,Respondida,SCM,1
87,96,4,19,9,Respondida,SCM,1
88,389,2,2,4,Em Análise,SCM,1
89,380,1,16,35,Respondida,SCM,1
90,465,5,25,4,Respondida,SCM,1
91,531,4,5,4,Pendente,SCM,1
92,626,4,22,7,Respondida,SCM,1
93,582,4,15,4,Respondida,SCM,1
94,534,2,26,35,Em Análise,SCM,1
95,455,2,21,2,Respondida,SCM,1
96,247,1,6,35,Pendente,SCM,1
97,442,1,5,12,Respondida,SCM,1
98,161,5,19,4,Respondida,SCM,1
99,656,4,25,35,Respondida,SCM,1
100,402,4,19,9,Respondida,SCM,1
101,631,4,17,35,Pendente,SCM,1
102,457,2,13,7,Respondida,SCM,1
103,157,5,10,35,Respondida,SCM,1
104,540,5,19,2,Respondida,SCM,1
105,1,2,13,34,Respondida,SCM,1
106,630,4,6,9,Respondida,SCM,1
107,11,1,27,9,Respondida,SCM,1
108,158,4,7,9,Pendente,SCM,1
109,77,4,25,4,Respondida,SCM,1
110,687,5,5,35,Pendente,SCM,1
111,155,3,13,7,Pendente,SCM,1
112,302,1,24,2,Respondida,SCM,1
113,496,1,24,35,Respondida,SCM,1
114,188,5,19,35,Respondida,SCM,1
115,65,4,5,35,Respondida,SCM,1
116,349,1,5,35,Pendente,SCM,1
117,703,1,4,35,Respondida,SCM,1
118,40,4,17,35,Respondida,SCM,1
119,458,2,16,35,Pendente,SCM,1
120,68,2,25,29,Respondida,SCM,1
121,46,5,19,35,Respondida,SCM,1
122,65,1,16,35,Respondida,SCM,1
123,19,4,19,2,Respondida,SCM,1
124,231,2,7,4,Respondida,SCM,1
125,160,1,13,2,Respondida,SCM,1
126,573,1,22,2,Em Análise,SCM,1
127,462,6,5,35,Em Análise,SCM,1
128,448,2,11,9,Respondida,SCM,1
129,405,5,4,35,Em Análise,SCM,1
130,531,5,10,9,Respondida,SCM,1
131,205,2,17,4,Respondida,SCM,1
132,73,4,19,4,Respondida,SCM,1
133,589,1,12,9,Respondida,SCM,1
134,193,4,21,4,Respondida,SCM,1
135,543,1,21,2,Respondida,SCM,1
136,175,5,25,4,Respondida,SCM,1
137,369,5,14,35,Pendente,SCM,1
138,423,5,25,35,Respondida,SCM,1
139,192,1,13,9,Respondida,SCM,1
140,291,1,16,9,Respondida,SCM,1
141,571,4,27,35,Respondida,SCM,1
142,558,4,3,35,Respondida,SCM,1
143,203,4,24,35,Respondida,SCM,1
144,333,4,5,29,Respondida,SCM,1
145,532,6,25,7,Pendente,SCM,1
146,175,5,5,9,Pendente,SCM,1
147,340,4,21,4,Pendente,SCM,1
148,4,4,24,35,Respondida,SCM,1
149,556,1,18,35,Pendente,SCM,1
150,641,4,19,35,Respondida,SCM,1
151,428,1,25,7,Pendente,SCM,1
152,26,5,23,4,Respondida,SCM,1
153,711,5,13,35,Respondida,SCM,1
154,636,1,6,34,Respondida,SCM,1
155,208,1,5,20,Em Análise,SCM,1
156,96,4,13,35,Pendente,SCM,1
157,651,4,25,2,Respondida,SCM,1
158,577,4,9,35,Respondida,SCM,1
159,118,4,19,2,Respondida,SCM,1
160,235,4,25,35,Respondida,SCM,1
161,346,1,13,4,Em Análise,SCM,1
162,93,1,9,35,Respondida,SCM,1
163,81,4,25,35,Respondida,SCM,1
164,316,4,21,35,Pendente,SCM,1
165,258,4,25,35,Respondida,SCM,1
166,499,2,14,4,Respondida,SCM,1
167,329,2,19,9,Respondida,SCM,1
168,512,5,9,35,Pendente,SCM,1
169,476,4,25,10,Respondida,SCM,1
170,727,1,19,4,Respondida,SCM,1
171,678,4,7,4,Em Análise,SCM,1
172,478,4,25,2,Respondida,SCM,1
173,454,2,5,29,Respondida,SCM,1
174,559,4,22,35,Respondida,SCM,1
175,317,2,25,35,Em Análise,SCM,1
176,332,1,1,35,Respondida,SCM,1
177,36,1,13,9,Respondida,SCM,1
178,44,4,8,35,Respondida,SCM,1
179,235,4,21,4,Respondida,SCM,1
180,641,4,16,35,Respondida,SCM,1
181,345,2,25,35,Respondida,SCM,1
182,74,2,5,9,Pendente,SCM,1
183,590,5,5,12,Pendente,SCM,1
184,245,4,19,9,Respondida,SCM,1
185,152,1,24,12,Respondida,SCM,1
186,105,5,12,7,Respondida,SCM,1
187,482,4,13,2,Pendente,SCM,1
188,570,4,22,7,Respondida,SCM,1
189,558,4,14,2,Respondida,SCM,1
190,470,1,18,12,Respondida,SCM,1
191,558,5,25,4,Respondida,SCM,1
192,463,1,24,35,Respondida,SCM,1
193,597,5,25,7,Pendente,SCM,1
194,116,4,13,2,Em Análise,SCM,1
195,201,1,19,4,Pendente,SCM,1
196,461,4,25,35,Respondida,SCM,1
197,442,2,4,2,Respondida,SCM,1
198,17,2,6,12,Respondida,SCM,1
199,199,1,25,12,Respondida,SCM,1
200,139,1,8,4,Pendente,SCM,1
201,231,5,5,35,Respondida,SCM,1
202,564,4,23,35,Respondida,SCM,1
203,710,5,11,35,Em Análise,SCM,1
204,678,4,19,4,Respondida,SCM,1
205,44,1,5,18,Respondida,SCM,1
206,378,2,24,35,Respondida,SCM,1
207,443,1,17,2,Respondida,SCM,1
208,212,1,19,35,Respondida,SCM,1
209,26,4,25,4,Respondida,SCM,1
210,542,4,25,2,Respondida,SCM,1
211,11,4,21,4,Em Análise,SCM,1
212,318,4,25,4,Respondida,SCM,1
213,623,1,19,12,Respondida,SCM,1
214,45,4,25,7,Respondida,SCM,1
215,456,5,24,4,Em Análise,SCM,1
216,255,5,22,4,Respondida,SCM,1
217,491,4,5,35,Em Análise,SCM,1
218,586,4,19,2,Respondida,SCM,1
219,9,5,21,35,Respondida,SCM,1
220,690,4,20,4,Pendente,SCM,1
221,556,1,25,9,Respondida,SCM,1
222,203,4,19,35,Respondida,SCM,1
223,410,4,25,35,Respondida,SCM,1
224,348,1,25,4,Respondida,SCM,1
225,586,5,13,35,Respondida,SCM,1
226,473,4,17,4,Respondida,SCM,1
227,141,1,21,35,Pendente,SCM,1
228,16,5,14,9,Respondida,SCM,1
229,587,4,6,4,Respondida,SCM,1
230,681,1,6,34,Pendente,SCM,1
231,575,4,10,35,Respondida,SCM,1
232,272,1,25,9,Respondida,SCM,1
233,270,1,15,20,Respondida,SCM,1
234,33,2,16,34,Respondida,SCM,1
235,62,1,16,4,Pendente,SCM,1
236,1,4,7,35,Pendente,SCM,1
237,124,4,19,35,Respondida,SCM,1
238,304,4,13,35,Pendente,SCM,1
239,247,1,2,4,Em Análise,SCM,1
240,247,1,5,35,Pendente,SCM,1
241,472,2,25,9,Pendente,SCM,1
242,222,4,25,35,Respondida,SCM,1
243,191,2,19,9,Em Análise,SCM,1
244,594,5,16,35,Respondida,SCM,1
245,21,5,4,35,Respondida,SCM,1
246,336,1,25,20,Respondida,SCM,1
247,268,1,6,12,Respondida,SCM,1
248,431,1,21,35,Em Análise,SCM,1
249,300,4,16,29,Respondida,SCM,1
250,31,4,25,7,Respondida,SCM,1
251,613,4,16,4,Em Análise,SCM,1
252,268,5,21,35,Respondida,SCM,1
253,1,5,13,35,Respondida,SCM,1
254,194,2,25,35,Em Análise,SCM,1
255,696,1,19,12,Respondida,SCM,1
256,588,5,13,7,Respondida,SCM,1
257,226,4,16,35,Respondida,SCM,1
258,181,4,19,2,Em Análise,SCM,1
259,533,1,25,35,Respondida,SCM,1
260,276,1,6,35,Em Análise,SCM,1
261,704,5,25,20,Em Análise,SCM,1
262,523,5,7,2,Respondida,SCM,1
263,595,1,14,4,Em Análise,SCM,1
264,618,5,10,4,Respondida,SCM,1
265,570,4,13,35,Pendente,SCM,1
266,244,4,5,4,Em Análise,SCM,1
267,391,1,24,9,Em Análise,SCM,1
268,697,4,21,35,Respondida,SCM,1
269,605,1,17,2,Respondida,SCM,1
270,729,5,20,6,Em Análise,SCM,1
271,17,2,16,35,Pendente,SCM,1
272,683,5,16,35,Pendente,SCM,1
273,414,1,8,7,Pendente,SCM,1
274,357,1,14,9,Pendente,SCM,1
275,2,5,14,35,Respondida,SCM,1
276,110,1,9,12,Respondida,SCM,1
277,177,5,24,35,Respondida,SCM,1
278,522,1,24,4,Respondida,SCM,1
279,66,1,17,7,Pendente,SCM,1
280,368,4,23,7,Respondida,SCM,1
281,65,4,25,2,Respondida,SCM,1
282,501,2,16,4,Respondida,SCM,1
283,718,1,5,26,Respondida,SCM,1
284,31,1,10,35,Pendente,SCM,1
285,76,4,17,35,Respondida,SCM,1
286,619,5,25,4,Respondida,SCM,1
287,613,4,19,2,Respondida,SCM,1
288,142,6,15,9,Respondida,SCM,1
289,663,1,5,4,Respondida,SCM,1
290,646,1,9,4,Respondida,SCM,1
291,378,2,25,4,Pendente,SCM,1
292,106,1,11,35,Pendente,SCM,1
293,215,1,26,34,Respondida,SCM,1
294,273,1,8,2,Respondida,SCM,1
295,385,4,25,2,Pendente,SCM,1
296,460,2,19,35,Respondida,SCM,1
297,284,4,13,9,Pendente,SCM,1
298,594,1,20,35,Pendente,SCM,1
299,106,5,19,35,Respondida,SCM,1
300,450,4,14,35,Respondida,SCM,1
301,242,4,16,7,Respondida,SCM,1
302,153,4,25,2,Respondida,SCM,1
303,308,1,16,35,Respondida,SCM,1
304,452,5,18,4,Em Análise,SCM,1
305,425,1,10,2,Respondida,SCM,1
306,144,1,12,7,Respondida,SCM,1
307,545,4,25,2,Respondida,SCM,1
308,629,3,18,35,Pendente,SCM,1
309,153,4,9,9,Respondida,SCM,1
310,41,5,25,4,Respondida,SCM,1
311,607,1,25,4,Respondida,SCM,1
312,238,4,19,9,Respondida,SCM,1
313,401,4,13,35,Em Análise,SCM,1
314,601,4,16,2,Respondida,SCM,1
315,237,1,25,4,Respondida,SCM,1
316,728,4,9,4,Em Análise,SCM,1
317,363,5,6,35,Pendente,SCM,1
318,53,4,10,9,Respondida,SCM,1
319,317,1,22,35,Respondida,SCM,1
320,12,4,6,4,Respondida,SCM,1
321,547,5,25,35,Respondida,SCM,1
322,67,4,14,4,Respondida,SCM,1
323,44,4,13,4,Respondida,SCM,1
324,617,4,21,4,Respondida,SCM,1
325,614,1,13,4,Respondida,SCM,1
326,70,5,19,9,Respondida,SCM,1
327,384,1,19,9,Em Análise,SCM,1
328,470,5,19,35,Respondida,SCM,1
329,304,4,25,4,Respondida,SCM,1
330,61,2,13,9,Respondida,SCM,1
331,354,4,5,2,Em Análise,SCM,1
332,3,1,5,7,Respondida,SCM,1
333,715,5,13,35,Respondida,SCM,1
334,439,4,6,35,Pendente,SCM,1
335,681,1,17,4,Respondida,SCM,1
336,386,4,19,4,Respondida,SCM,1
337,188,4,13,35,Respondida,SCM,1
338,531,5,27,9,Respondida,SCM,1
339,128,4,15,7,Respondida,SCM,1
340,305,1,14,2,Respondida,SCM,1
341,714,4,16,9,Pendente,SCM,1
342,384,1,25,29,Em Análise,SCM,1
343,464,4,13,9,Respondida,SCM,1
344,486,4,9,35,Respondida,SCM,1
345,533,1,25,4,Pendente,SCM,1
346,238,1,5,35,Respondida,SCM,1
347,480,4,19,2,Pendente,SCM,1
348,511,2,25,2,Respondida,SCM,1
349,100,4,19,9,Respondida,SCM,1
350,715,2,16,4,Respondida,SCM,1
351,538,4,17,4,Respondida,SCM,1
352,661,4,16,12,Em Análise,SCM,1
353,161,4,18,9,Em Análise,SCM,1
354,279,4,4,35,Respondida,SCM,1
355,424,2,25,35,Pendente,SCM,1
356,701,4,13,4,Respondida,SCM,1
357,605,6,8,4,Respondida,SCM,1
358,696,1,18,35,Respondida,SCM,1
359,653,5,25,2,Em Análise,SCM,1
360,296,4,25,35,Respondida,SCM,1
361,576,5,5,9,Respondida,SCM,1
362,283,4,6,4,Respondida,SCM,1
363,616,1,6,9,Respondida,SCM,1
364,554,1,25,4,Respondida,SCM,1
365,412,1,8,35,Respondida,SCM,1
366,716,4,23,9,Pendente,SCM,1
367,344,1,13,9,Respondida,SCM,1
368,326,4,25,9,Respondida,SCM,1
369,14,4,7,4,Respondida,SCM,1
370,552,1,19,26,Respondida,SCM,1
371,351,5,19,35,Respondida,SCM,1
372,369,4,19,7,Respondida,SCM,1
373,511,1,17,35,Respondida,SCM,1
374,668,4,21,29,Respondida,SCM,1
375,650,4,14,9,Respondida,SCM,1
376,446,4,25,35,Pendente,SCM,1
377,508,1,13,9,Respondida,SCM,1
378,134,1,19,4,Pendente,SCM,1
379,370,4,25,7,Respondida,SCM,1
380,595,1,16,2,Respondida,SCM,1
381,546,1,5,29,Respondida,SCM,1
382,729,1,13,4,Pendente,SCM,1
383,111,1,15,12,Respondida,SCM,1
384,461,1,9,9,Em Análise,SCM,1
385,669,4,25,4,Respondida,SCM,1
386,368,4,21,34,Respondida,SCM,1
387,583,1,17,35,Respondida,SCM,1
388,326,2,13,35,Respondida,SCM,1
389,376,4,15,4,Pendente,SCM,1
390,628,4,19,9,Respondida,SCM,1
391,548,4,24,2,Respondida,SCM,1
392,717,5,5,2,Respondida,SCM,1
393,441,1,17,9,Respondida,SCM,1
394,377,4,18,9,Pendente,SCM,1
395,592,1,25,22,Em Análise,SCM,1
396,439,4,7,7,Respondida,SCM,1
397,696,4,16,2,Respondida,SCM,1
398,438,1,10,4,Pendente,SCM,1
399,119,2,21,9,Respondida,SCM,1
400,369,1,17,35,Respondida,SCM,1
401,461,5,18,7,Respondida,SCM,1
402,14,4,5,9,Respondida,SCM,1
403,392,5,13,35,Respondida,SCM,1
404,544,4,10,35,Respondida,SCM,1
405,575,4,25,35,Respondida,SCM,1
406,334,4,20,35,Respondida,SCM,1
407,218,5,13,4,Respondida,SCM,1
408,331,4,5,2,Em Análise,SCM,1
409,668,1,17,35,Respondida,SCM,1
410,18,2,12,35,Respondida,SCM,1
411,552,1,25,4,Respondida,SCM,1
412,117,1,10,29,Respondida,SCM,1
413,285,1,4,9,Respondida,SCM,1
414,82,5,25,35,Respondida,SCM,1
415,100,3,21,35,Respondida,SCM,1
416,72,4,3,35,Respondida,SCM,1
417,729,1,17,35,Em Análise,SCM,1
418,449,1,26,20,Pendente,SCM,1
419,627,4,5,2,Respondida,SCM,1
420,685,4,7,26,Pendente,SCM,1
421,459,4,21,35,Pendente,SCM,1
422,241,1,12,9,Respondida,SCM,1
423,533,4,13,4,Em Análise,SCM,1
424,501,2,4,4,Respondida,SCM,1
425,396,1,19,35,Respondida,SCM,1
426,173,1,16,35,Respondida,SCM,1
427,513,4,5,12,Respondida,SCM,1
428,240,1,5,35,Respondida,SCM,1
429,374,4,18,35,Respondida,SCM,1
430,727,2,4,26,Respondida,SCM,1
431,286,1,19,35,Pendente,SCM,1
432,161,4,7,4,Respondida,SCM,1
433,531,4,25,35,Respondida,SCM,1
434,369,2,25,35,Pendente,SCM,1
435,705,1,26,4,Respondida,SCM,1
436,678,4,16,6,Respondida,SCM,1
437,348,4,6,7,Respondida,SCM,1
438,419,1,13,4,Respondida,SCM,1
439,63,1,14,35,Respondida,SCM,1
440,182,1,5,4,Respondida,SCM,1
441,16,2,19,4,Respondida,SCM,1
442,718,4,25,9,Respondida,SCM,1
443,207,4,19,35,Em Análise,SCM,1
444,628,5,19,4,Pendente,SCM,1
445,76,4,13,9,Respondida,SCM,1
446,69,4,13,4,Respondida,SCM,1
447,458,2,26,9,Respondida,SCM,1
448,102,4,19,9,Respondida,SCM,1
449,604,4,25,4,Respondida,SCM,1
450,444,5,25,35,Respondida,SCM,1
451,249,6,7,35,Respondida,SCM,1
452,653,6,17,9,Respondida,SCM,1
453,331,5,7,4,Respondida,SCM,1
454,677,2,13,35,Respondida,SCM,1
455,94,2,24,29,Respondida,SCM,1
456,430,4,13,7,Respondida,SCM,1
457,658,5,17,4,Respondida,SCM,1
458,275,5,25,35,Respondida,SCM,1
459,660,4,25,9,Respondida,SCM,1
460,503,5,19,35,Respondida,SCM,1
461,643,1,14,2,Respondida,SCM,1
462,243,1,16,6,Pendente,SCM,1
463,72,1,4,4,Em Análise,SCM,1
464,301,4,5,2,Respondida,SCM,1
465,678,4,10,3,Respondida,SCM,1
466,598,1,5,9,Respondida,SCM,1
467,256,4,25,4,Respondida,SCM,1
468,682,4,5,20,Respondida,SCM,1
469,397,4,4,9,Respondida,SCM,1
470,517,4,25,7,Respondida,SCM,1
471,403,4,14,26,Respondida,SCM,1
472,364,5,25,4,Respondida,SCM,1
473,11,4,23,12,Respondida,SCM,1
474,478,4,25,2,Respondida,SCM,1
475,398,4,9,35,Respondida,SCM,1
476,475,4,25,35,Respondida,SCM,1
477,195,4,13,35,Respondida,SCM,1
478,353,2,25,9,Respondida,SCM,1
479,190,4,17,12,Respondida,SCM,1
480,152,4,13,35,Respondida,SCM,1
481,580,1,23,35,Respondida,SCM,1
482,605,4,25,35,Respondida,SCM,1
483,214,4,13,35,Pendente,SCM,1
484,116,4,14,34,Respondida,SCM,1
485,647,4,25,35,Em Análise,SCM,1
486,579,4,5,35,Pendente,SCM,1
487,478,1,4,2,Respondida,SCM,1
488,161,1,19,35,Respondida,SCM,1
489,612,4,19,4,Respondida,SCM,1
490,551,2,2,29,Em Análise,SCM,1
491,312,4,25,4,Respondida,SCM,1
492,351,1,25,35,Respondida,SCM,1
493,544,1,25,4,Respondida,SCM,1
494,51,1,25,35,Respondida,SCM,1
495,730,4,21,7,Respondida,SCM,1
496,375,4,5,34,Respondida,SCM,1
497,652,4,14,4,Pendente,SCM,1
498,242,1,13,35,Respondida,SCM,1
499,400,4,25,18,Respondida,SCM,1
500,606,1,15,9,Respondida,SCM,1
501,616,5,14,7,Pendente,SCM,1
502,138,4,14,35,Pendente,SCM,1
503,108,5,17,2,Respondida,SCM,1
504,100,4,25,35,Respondida,SCM,1
505,137,5,10,35,Respondida,SCM,1
506,410,1,25,4,Respondida,SCM,1
507,76,4,25,4,Respondida,SCM,1
508,337,4,19,35,Respondida,SCM,1
509,494,4,19,35,Respondida,SCM,1
510,189,5,25,7,Respondida,SCM,1
511,517,4,22,2,Respondida,SCM,1
512,132,4,25,4,Respondida,SCM,1
513,400,4,19,35,Pendente,SCM,1
514,440,5,24,35,Respondida,SCM,1
515,216,4,25,4,Respondida,SCM,1
516,649,4,25,4,Respondida,SCM,1
517,251,1,15,4,Respondida,SCM,1
518,429,3,24,4,Respondida,SCM,1
519,540,1,5,35,Pendente,SCM,1
520,240,4,5,35,Respondida,SCM,1
521,643,4,5,35,Pendente,SCM,1
522,274,1,25,35,Respondida,SCM,1
523,594,4,6,29,Pendente,SCM,1
524,620,4,15,9,Respondida,SCM,1
525,520,2,11,35,Pendente,SCM,1
526,78,2,6,2,Respondida,SCM,1
527,154,3,11,2,Em Análise,SCM,1
528,391,1,10,2,Respondida,SCM,1
529,61,1,25,9,Pendente,SCM,1
530,392,1,5,35,Pendente,SCM,1
531,692,1,13,35,Respondida,SCM,1
532,474,4,5,9,Em Análise,SCM,1
533,464,4,15,4,Respondida,SCM,1
534,361,1,25,2,Respondida,SCM,1
535,152,5,23,9,Em Análise,SCM,1
536,407,4,5,26,Respondida,SCM,1
537,4,4,25,7,Pendente,SCM,1
538,513,4,25,9,Respondida,SCM,1
539,534,1,16,2,Em Análise,SCM,1
540,721,2,5,4,Respondida,SCM,1
541,418,4,19,29,Pendente,SCM,1
542,428,5,3,35,Respondida,SCM,1
543,576,2,21,2,Respondida,SCM,1
544,202,4,8,4,Respondida,SCM,1
545,700,5,18,4,Pendente,SCM,1
546,294,4,25,4,Respondida,SCM,1
547,478,5,6,2,Respondida,SCM,1
548,451,5,5,35,Respondida,SCM,1
549,193,1,14,2,Em Análise,SCM,1
550,452,5,11,35,Pendente,SCM,1
551,649,1,13,35,Respondida,SCM,1
552,508,2,4,4,Respondida,SCM,1
553,245,1,10,2,Respondida,SCM,1
554,471,1,16,35,Em Análise,SCM,1
555,326,1,7,4,Respondida,SCM,1
556,543,5,5,35,Respondida,SCM,1
557,546,1,5,2,Pendente,SCM,1
558,700,1,19,35,Pendente,SCM,1
559,470,5,25,35,Respondida,SCM,1
560,219,5,27,9,Pendente,SCM,1
561,565,4,25,35,Pendente,SCM,1
562,698,4,25,29,Em Análise,SCM,1
563,522,5,6,4,Em Análise,SCM,1
564,380,4,11,35,Respondida,SCM,1
565,711,4,16,9,Em Análise,SCM,1
566,37,4,2,4,Pendente,SCM,1
567,172,4,19,35,Respondida,SCM,1
568,669,4,13,4,Respondida,SCM,1
569,649,4,13,35,Pendente,SCM,1
570,388,4,16,2,Respondida,SCM,1
571,462,1,16,35,Respondida,SCM,1
572,605,4,21,35,Respondida,SCM,1
573,269,1,25,7,Pendente,SCM,1
574,290,1,11,4,Respondida,SCM,1
575,5,2,25,35,Respondida,SCM,1
576,226,4,26,9,Respondida,SCM,1
577,187,4,25,7,Respondida,SCM,1
578,708,5,16,9,Respondida,SCM,1
579,32,4,14,35,Respondida,SCM,1
580,81,2,24,2,Respondida,SCM,1
581,528,4,13,20,Respondida,SCM,1
582,247,4,8,4,Respondida,SCM,1
583,623,4,7,12,Respondida,SCM,1
584,258,4,12,4,Respondida,SCM,1
585,596,5,25,4,Respondida,SCM,1
586,608,1,13,26,Respondida,SCM,1
587,626,5,14,2,Respondida,SCM,1
588,180,2,13,4,Pendente,SCM,1
589,173,4,25,6,Em Análise,SCM,1
590,7,4,14,35,Respondida,SCM,1
591,430,6,9,2,Respondida,SCM,1
592,663,4,25,2,Respondida,SCM,1
593,127,4,2,35,Respondida,SCM,1
594,696,2,19,35,Pendente,SCM,1
595,700,4,20,29,Respondida,SCM,1
596,634,1,9,12,Respondida,SCM,1
597,594,5,21,35,Em Análise,SCM,1
598,393,4,25,10,Respondida,SCM,1
599,554,5,21,9,Pendente,SCM,1
600,292,4,25,35,Respondida,SCM,1
601,540,4,23,35,Pendente,SCM,1
602,339,1,13,35,Respondida,SCM,1
603,593,1,8,12,Respondida,SCM,1
604,81,5,5,4,Respondida,SCM,1
605,294,4,9,4,Respondida,SCM,1
606,721,5,17,7,Pendente,SCM,1
607,121,4,11,16,Respondida,SCM,1
608,362,1,25,35,Respondida,SCM,1
609,130,4,25,2,Respondida,SCM,1
610,166,4,24,4,Respondida,SCM,1
611,26,5,13,20,Pendente,SCM,1
612,83,1,7,9,Respondida,SCM,1
613,561,1,5,12,Respondida,SCM,1
614,220,1,8,35,Respondida,SCM,1
615,255,4,5,9,Pendente,SCM,1
616,508,2,16,2,Respondida,SCM,1
617,598,1,13,9,Respondida,SCM,1
618,46,1,21,7,Respondida,SCM,1
619,81,4,21,35,Em Análise,SCM,1
620,687,5,19,4,Respondida,SCM,1
621,377,4,19,7,Em Análise,SCM,1
622,629,1,19,35,Respondida,SCM,1
623,517,4,13,12,Respondida,SCM,1
624,297,5,13,35,Respondida,SCM,1
625,464,5,25,35,Respondida,SCM,1
626,532,5,9,35,Respondida,SCM,1
627,106,4,19,12,Em Análise,SCM,1
628,478,2,18,35,Respondida,SCM,1
629,60,5,19,2,Respondida,SCM,1
630,729,4,21,29,Respondida,SCM,1
631,380,5,19,2,Em Análise,SCM,1
632,639,5,5,35,Pendente,SCM,1
633,682,2,1,4,Respondida,SCM,1
634,640,4,4,9,Respondida,SCM,1
635,163,4,5,7,Respondida,SCM,1
636,346,1,18,35,Em Análise,SCM,1
637,73,2,21,4,Respondida,SCM,1
638,533,1,20,35,Respondida,SCM,1
639,104,5,25,35,Respondida,SCM,1
640,728,4,4,7,Respondida,SCM,1
641,509,1,5,17,Respondida,SCM,1
642,574,5,23,7,Respondida,SCM,1
643,701,5,17,4,Respondida,SCM,1
644,141,2,25,4,Respondida,SCM,1
645,662,1,25,35,Em Análise,SCM,1
646,29,4,25,35,Respondida,SCM,1
647,660,4,13,2,Pendente,SCM,1
648,637,4,7,9,Respondida,SCM,1
649,130,4,5,35,Respondida,SCM,1
650,226,4,24,35,Respondida,SCM,1
651,701,5,12,35,Respondida,SCM,1
652,280,4,17,4,Respondida,SCM,1
653,100,1,12,7,Respondida,SCM,1
654,511,5,9,35,Respondida,SCM,1
655,602,2,25,35,Respondida,SCM,1
656,560,5,25,12,Respondida,SCM,1
657,59,1,19,35,Respondida,SCM,1
658,550,2,6,9,Respondida,SCM,1
659,498,4,5,4,Pendente,SCM,1
